BadPost
"If the cast of Love Live! Sunshine!! all turned into sea creatures, would you store them in an Aqour-ium?  And If the same thing happened to the original cast, wouldn't that also be pretty a-Muse-ing?"
"If an official side story were written about a certain blue-haired girl, would it be considered Kanan-ical?"
"If Ohara were turned into a puppet,  would she be a Mari-onette?"
"If there was something important you needed to know about groups like Aqours or Muse, wouldn't it be considered v-idol information?"
"If Watanabe were to become Yohane's slave apprentice, would she end up as a chuunib-You?"
"Would Eli oshis be considered b-Eli-evers?  And with the comeback of Muse, does that mean they get to B-Eli-eve Again?"
"If you failed chuusen for an iDOLM@STER concert, would that mean you dek-iM@S-ened?"
"If the older Kurosawa sister became evil, would she have Dia-bolical plans?"
Would a prank pulled by Hanamaru be called an ita-zura?
"If you became a complete master of wotagei, would you have attained penlightenment?"
Is Love Live addicting because it has Nico-tine?
"If Sonoda was depressed, would she be feeling gl-Umi?"
"If you pre-booked an event for your Love Live! plushies, would you have made a neso-rvation?"
"Going back to Aqours all being sea creatures again, would the Aqour-ium be at Numa-zoo?"
Would Sonoda's favorite penlight type be L-Umi-ca?
"If someone was a yakkai Hoshizora oshi, would they need a Rin-tervention?"
"If Sakarauchi became #1 in something, would she have attained a new Riko-rd?"
"If you were to remodel and redecorate your house to be all Hoshizora themed, would you have done a Rin-ovation?"
If you got a bunch of Nicos to sing together would that create harmo-niiiii?
"If a seiyuu went on standby mode, would they be idol-ing?"
"If the younger Kurosawa sister lived in the middle ages, would she be a t-Ruby-dour?"
"If you obtained a PhD in Love Live! plushies, would you have to write a neso-rtation?"
"If you combined the main character of Sunshine with the mascot of pokemon, would you get a Chikachu?"
"If the rich girl were to do something against all odds, would she have pulled off a Mari-cle?"
"If you got asked to join a Hoshizora themed party, would that be considered a Rin-vitation?"
"If you combined the main character of Sunshine with the grass Johto starter, would you get a Chika-rita?"
"If you went bankrupt because of heavy spending on otaku stuff, would that mean you'd be on whale-fare?"
"If you fantasized about lewding a bandori character in your sleep, would that be considered a BanG Dream?"
"If you were to keep pestering someone about Wake Up, Girls!, would that be considered WUGging them?"
"If idols give out love and are loved themselves, shouldn't they be called ai-dols?"
"If you wanted to lick or taste your favorite idol, would they be your oishi?"
"If you won the lottery for an idol concert, does that mean you're the chuusen one?"
"If the gothic bandori band suddenly turned into macho men, would they be called Broselia?"
Would Dia's sister's favorite drink be a Ruby-r float?
Are Love Live plushies considered Neso-ssary to own by fans?
"If Ohara were to be featured in a Nintendo crossover game, would it be called Super Mari-o Bros.?"
"If Ruby's sister had a unique speech pattern, would that be considered a Dia-lect?"
"If Nico became a queen, would you have to NIIIII-L before her?"
Would a Takami-themed subway be called a Chika-tetsu?
"If Watanabe was the only hero left in a fictional story, could it be said that only You can save the world?"
"If the younger Saint Snow sister joined the subgroup that Dia is in, would that group become AzaLeah?"
"If you wore a Hoshizora themed jacket, would you be Rin-sulated?"
"If you put Nishikino in a wrap with veggies, would that be a haru-Maki? (Aka, spring roll)"
"If Watanabe and Yoshiko were to fuse together, would they become You-hane?"
"Assuming Aqours are all sea creatures again, would the gothic subunit become Gill-ty Kiss?"
"If you incorrectly stated something about Chika's subunit, would you be CYaWrong?"
"If Aqours were all sea creatures yet again, would their label become At-Lantis?"
"If the Dia's sister was featured on a certain popular puzzle toy, would it be a Ruby-ck's Cube?"
"If you wrote a critique on Bushi's musical theater franchise, would that be a Review Starlight?"
Would a Yoshiko x Nico ship be called a YohaNI?
"If you got screwed out of a convention concert ticket through Showclix or Ticketmaster, does that mean you were con-ned?"
Would Yazawa's favorite streaming platform be NicoNico (NIIIII)?
Would an Ayase-themed electronic floor changer be an Eli-vator?
"If Ayase became a reptile, would she be an Eli-gator?"
"If you were to remodel your house with Yazawa themed items, would that mean you Nico-rated it?"
Does Hanamaru eat pancakes with maple zura-p?
"If you were to greet a heavy spender on idol goods/gacha, would you be giving them a whale-come?"
Is Ayase's height considered her Eli-vation?
"If Ruby's sister became a monster from Monster Hunter, would she be a Dia-bolos?"
"If Matsuura jumped into a pool while bunched up, would that be a Kanan ball?"
"If Ohara took over a certain popular hotel chain, would it become the Mari-ott?"
Would the Berserk anime be fixed if it replaced its notorious CG with the iM@S variety?
"If Yukina's VA were to run fast, would she be h-AiAi?"
"If you made a seiyuu sculpture out of bread, would it be an i-dough-l?"
"If the Love Live plushies took over Numazu and formed their own civilization, would it become Neso-potamia?"
"If Mari took over Chicago's main airport, would it become O'Hara?"
"If an idol were to admit something at an event, would it be a con-Fes-sion?"
"If you got into idol hell during your teen years, would that be considered your idol-escence phase?"
"If you turned Yoshiko into a ramen ingredient, would she be a d-Aikyan?"
"If Sakarauchi were to remember something she forgot, would that be a Riko-llection?"
Would buying the biggest size Love Live plushes be tera-ble for your wallet?
"If the gothic subunit of Aqours performed in London, would it be a Guil-tea party?"
"If Sakarauchi got better after being sick, would that be a Riko-very?"
"Idols are Love, idols are Live!"
"If you stacked a bunch of Maki plushies, would that be a Pile of nesos?"
"If Dia were to become a programmer, would she learn Ruby?"
Would Ruby's favorite gem be the Dia-mond?
"If Dia's subgroup became boats, would they be called AZA-LEAN?"
"If someone was a yakkai Kurosawa oshi, would they need to Dia-l it back?"
"If you were a Kurosawa going to school, would you need to be on your Rubesty behavior?"
"If you were a yakkai Kanan oshi, would your toilet lead to the Suwa?"
"If someone were to make a triggering Sakarauchi joke, would that be considered a REEEEEEEEEEE-ko pun?"
"If there was a lottery for an idol-themed cafe/restaurant, would that be considered a chew-sen?"
Does Matsuura take photos with a Kanon?
"If you changed this Discord's picture to be Yoshiko's seiyuu, would it be a server Aikyon?"
"If you failed the lottery of a Love Live concert, does that mean you dek-e+-ened?"
"If you were to write a letter for Kunikuda for the next day, would it be a message to-maru?"
"If Ohara sold her own steak sauce, would it be a Mari-nade?"
"If Watanabe became a ghost, would she be a You-kai?"
"If the Kurosawa sisters sold German sandwiches, would they be Ruby-ns?"
"If Nishikino was making fun of someone, would she be Maki-ng them?"
"If there was a boater who was also in idol hell, would he row his boat with an Ultra Oar-ange?"
"If tonight's performers set up networked PCs and played music games with each other, would it be a LAN-tis Matsuri?"
Does buying a full graphic thin overcoat of your oshi make you happi?
"If you're happi and you know it, empty your wallet"
